"id","updatedAt","jobTitle","jobOfferCardTitle","jobOfferCardSalaryList","appealTitle","requiredText","facilityName","facilityAddress","facilityAccess"
"544083","2025-03-03T15:36:31.000+09:00","","しんあいケア センター せたがや事業所の介護職/ヘルパー求人（パート・バイト）","パート・バイト 時給 1,700円 〜 2,110円","【世田谷区上馬】週2日から週5日勤務まで柔軟に対応☆時給高水準！資格と勤務実績に応じて手当支給あり◎得意を活かして活躍しませんか？","介護職員初任者研修（旧ヘルパー2級）以上必須","しんあいケア センター せたがや事業所","上馬5-19-16","東急世田谷線 松陰神社前駅から徒歩で3分
東急世田谷線 世田谷駅から徒歩で7分
東急田園都市線　駒澤大学駅から徒歩17分"
"1174756","2025-03-03T15:34:14.000+09:00","介護職員","ニチイケアセンター中野の介護職員求人","パート・バイト 時給 1,328円 〜 2,148円","【中野区上高田】週1日・1時間～OK！子ども手当や学校行事休暇 等、子育て支援制度充実◎研修制度あり！空いた時間で介護のお仕事始めませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター中野","上高田2-46-6","西武新宿線 新井薬師前駅から徒歩で8分
東京メトロ東西線 中野駅から徒歩で12分
JR中央・総武線 中野駅から徒歩で12分"
"551906","2025-03-03T15:33:49.000+09:00","介護職員","ニチイケアセンター世田谷宇奈根の介護職員求人","正職員 月給 200,570円 〜 238,570円","【世田谷区宇奈根】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎お持ちの資格を活かして働きませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター世田谷宇奈根","宇奈根1-18-6","田園都市線　二子玉川駅より成城学園前行きバス「鎌田バス停」下車　徒歩5分
小田急小田原線　成城学園前駅より二子玉川駅行きバス「鎌田バス停」下車　徒歩5分"
"621762","2025-03-03T15:33:49.000+09:00","介護職員","ニチイケアセンター世田谷宇奈根の介護職員求人","パート・バイト 時給 1,171円 〜 1,621円","【世田谷区宇奈根】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎無資格・未経験からスタートOK！スキルアップしながら介護のお仕事始めませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士
◆無資格の方もご相談ください！","ニチイケアセンター世田谷宇奈根","宇奈根1-18-6","田園都市線　二子玉川駅より成城学園前行きバス「鎌田バス停」下車　徒歩5分
小田急小田原線　成城学園前駅より二子玉川駅行きバス「鎌田バス停」下車　徒歩5分"
"1034780","2025-03-03T15:33:38.000+09:00","介護職員","ニチイケアセンター中目黒の介護職員求人","正職員 月給 228,970円 〜 246,970円","【目黒区東山】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター中目黒","東山1-4-4目","東急東横線 中目黒駅から徒歩で6分
東京メトロ日比谷線 中目黒駅から徒歩で6分
東急東横線 代官山駅から徒歩で11分"
"1034778","2025-03-03T15:33:38.000+09:00","介護職員","ニチイケアセンター祐天寺の介護職員求人","正職員 月給 228,970円 〜 246,970円","【目黒区中町】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター祐天寺","中町2-38-9","東急東横線 祐天寺駅から徒歩で6分
東急東横線 中目黒駅から徒歩で14分
東京メトロ日比谷線 中目黒駅から徒歩で14分
"
"1034779","2025-03-03T15:33:38.000+09:00","介護職員","ニチイケアセンター北沢の介護職員求人","正職員 月給 228,970円 〜 246,970円","【世田谷区大原】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター北沢","大原1-23-15","京王線 代田橋駅から徒歩で8分
京王井の頭線 新代田駅から徒歩で7分
京王井の頭線 東松原駅から徒歩で11分"
"1034761","2025-03-03T15:33:35.000+09:00","介護職員","ニチイケアセンター蓮根の介護職員求人","正職員 月給 228,970円 〜 246,970円","【板橋区東坂下】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター蓮根","東坂下2-10-10","都営三田線 蓮根駅から徒歩で10分
都営三田線 志村三丁目駅から徒歩で14分
JR埼京線 浮間舟渡駅から徒歩で14分
"
"1009865","2025-03-03T15:33:32.000+09:00","介護職員","ニチイケアセンター世田谷松原の介護職員求人","正職員 月給 228,970円 〜 246,970円","【世田谷区赤堤】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター世田谷松原","赤堤4-36-19","京王線 下高井戸駅から徒歩で2分
東急世田谷線 下高井戸駅から徒歩で2分
東急世田谷線 松原駅から徒歩で7分
"
"1009862","2025-03-03T15:33:31.000+09:00","介護職員","ニチイケアセンター羽田の介護職員求人","正職員 月給 228,970円 〜 246,970円","【大田区西糀谷】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター羽田","西糀谷3-41-3","京急空港線 大鳥居駅から徒歩で2分
京急空港線 糀谷駅から徒歩で9分
京急空港線 穴守稲荷駅から徒歩で13分"
"1009864","2025-03-03T15:33:31.000+09:00","介護職員","品川区ヘルパーステーション杜松の介護職員求人","正職員 月給 228,970円 〜 246,970円","【品川区豊町】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","品川区ヘルパーステーション杜松","豊町4-24-15","東急大井町線 下神明駅から徒歩で6分
JR横須賀線 西大井駅から徒歩で7分
JR湘南新宿ライン 西大井駅から徒歩で7分"
"986051","2025-03-03T15:33:24.000+09:00","介護職員","ニチイケアセンター奥戸の介護職員求人","パート・バイト 時給 1,163円 〜 1,303円","【葛飾区奥戸】週1日～OK！子ども手当や学校行事休暇 等、子育て支援制度充実◎研修制度あり！空いた時間で介護のお仕事始めませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士
◆無資格の方もご相談ください！","ニチイケアセンター奥戸","奥戸5丁目16番10号","JR中央・総武線 小岩駅から徒歩で22分"
"986046","2025-03-03T15:33:23.000+09:00","介護職員","ニチイケアセンター一之江の介護職員求人","正職員 月給 200,570円 〜 238,570円","【江戸川区鹿骨】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎お持ちの資格を活かして働きませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター一之江","鹿骨1丁目56番5号","都営新宿線 篠崎駅から徒歩で19分"
"986019","2025-03-03T15:33:16.000+09:00","介護職員","ニチイケアセンター板橋本町の介護職員求人","正職員 月給 228,970円 〜 246,970円","【板橋区大和町】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター板橋本町","大和町26-8","都営三田線 板橋本町駅から徒歩で6分
東武東上線 中板橋駅から徒歩で13分
都営三田線 本蓮沼駅から徒歩で13分"
"986020","2025-03-03T15:33:16.000+09:00","介護職員","ニチイケアセンター小茂根の介護職員求人","正職員 月給 228,970円 〜 246,970円","【板橋区小茂根】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター小茂根","小茂根5丁目4番41号","東京メトロ副都心線 小竹向原駅から徒歩で12分
東京メトロ有楽町線 小竹向原駅から徒歩で12分
西武有楽町線 小竹向原駅から徒歩で12分"
"985989","2025-03-03T15:33:09.000+09:00","介護職員","ニチイケアセンター赤羽の介護職員求人","正職員 月給 200,570円 〜 238,570円","【北区赤羽北】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎お持ちの資格を活かして働きませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター赤羽","赤羽北1丁目4番22号","東京メトロ南北線 赤羽岩淵駅から徒歩で9分
埼玉高速鉄道線 赤羽岩淵駅から徒歩で9分
JR埼京線 北赤羽駅から徒歩で12分"
"985988","2025-03-03T15:33:08.000+09:00","介護職員","ニチイケアセンター石神井公園の介護職員求人","正職員 月給 200,570円 〜 238,570円","【練馬区石神井町】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎お持ちの資格を活かして働きませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター石神井公園","石神井町7丁目17番16号","西武池袋線 石神井公園駅から徒歩で15分
西武池袋線 大泉学園駅から徒歩で15分"
"849743","2025-03-03T15:29:39.000+09:00","介護職員","ニチイケアセンター洗足の介護職員求人","正職員 月給 228,970円 〜 246,970円","【目黒区原町】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター洗足","原町1-28-5","東急目黒線 西小山駅から徒歩で5分
東急目黒線 洗足駅から徒歩で11分
東急目黒線 武蔵小山駅から徒歩で14分"
"849744","2025-03-03T15:29:39.000+09:00","介護職員","ニチイケアセンター足立扇の介護職員求人","正職員 月給 228,970円 〜 246,970円","【足立区扇】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター足立扇","扇2-35-8","日暮里・舎人ライナー　高野駅 徒歩5分"
"849734","2025-03-03T15:29:37.000+09:00","介護職員","ニチイケアセンター中村橋の介護職員求人","正職員 月給 228,970円 〜 246,970円","【練馬区貫井】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター中村橋","貫井1-39-1","西武池袋線 中村橋駅から徒歩で3分
西武池袋線 富士見台駅から徒歩で6分
西武豊島線 豊島園駅から徒歩で21分"
"849738","2025-03-03T15:29:37.000+09:00","介護職員","ニチイケアセンター阿佐ヶ谷の介護職員求人","正職員 月給 228,970円 〜 246,970円","【杉並区阿佐谷北】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター阿佐ヶ谷","阿佐谷北1-29-16","JR阿佐ヶ谷駅　徒歩5分"
"849733","2025-03-03T15:29:36.000+09:00","介護職員","ニチイケアセンター豊島の介護職員求人","正職員 月給 228,970円 〜 246,970円","【豊島区池袋】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター豊島","池袋4-27-5","東武東上線 北池袋駅から徒歩で10分
東京メトロ副都心線 池袋駅から徒歩で10分
東武東上線 池袋駅から徒歩で10分"
"686875","2025-03-03T15:25:53.000+09:00","介護職員","ニチイケアセンターおしあげの介護職員求人","正職員 月給 200,570円 〜 238,570円","【墨田区太平】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎お持ちの資格を活かして働きませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンターおしあげ","太平3-19-5","東京メトロ半蔵門線 錦糸町駅から徒歩で8分
JR中央・総武線 錦糸町駅から徒歩で8分
JR総武本線 錦糸町駅から徒歩で8分"
"686876","2025-03-03T15:25:53.000+09:00","介護職員","ニチイケアセンター江東の介護職員求人","正職員 月給 228,970円 〜 246,970円","【江東区森下】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター江東","森下5-13-2","都営新宿線 菊川駅から徒歩で8分
都営新宿線 住吉駅から徒歩で12分
東京メトロ半蔵門線 住吉駅から徒歩で12分"
"686869","2025-03-03T15:25:52.000+09:00","介護職員","ニチイケアセンター新小岩の介護職員求人","正職員 月給 200,570円 〜 238,570円","【葛飾区奥戸】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎お持ちの資格を活かして働きませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター新小岩","奥戸4丁目21番20号","JR中央・総武線 小岩駅から徒歩で19分"
"686842","2025-03-03T15:25:45.000+09:00","介護職員","ニチイケアセンターせせらぎの介護職員求人","正職員 月給 228,970円 〜 246,970円","【葛飾区細田】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンターせせらぎ","細田2丁目2番4号","京成押上線 青砥駅から徒歩で20分
成田スカイアクセス 青砥駅から徒歩で20分
京成本線 青砥駅から徒歩で20分"
"686833","2025-03-03T15:25:43.000+09:00","介護職員","ニチイケアセンター洗足の介護職員求人","パート・バイト 時給 1,328円 〜 2,148円","【目黒区原町】週1日・1時間～OK！子ども手当や学校行事休暇 等、子育て支援制度充実◎研修制度あり！空いた時間で介護のお仕事始めませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター洗足","原町1-28-5","東急目黒線 西小山駅から徒歩で5分
東急目黒線 洗足駅から徒歩で11分
東急目黒線 武蔵小山駅から徒歩で14分"
"686832","2025-03-03T15:25:43.000+09:00","介護職員","ニチイケアセンター大井町の介護職員求人","パート・バイト 時給 1,328円 〜 2,148円","【品川区東大井】週1日・1時間～OK！子ども手当や学校行事休暇 等、子育て支援制度充実◎研修制度あり！空いた時間で介護のお仕事始めませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター大井町","東大井5-7-10","りんかい線 大井町駅から徒歩で3分
東急大井町線 大井町駅から徒歩で3分
JR京浜東北線 大井町駅から徒歩で5分"
"686829","2025-03-03T15:25:42.000+09:00","介護職員","ニチイケアセンター高井戸駅前の介護職員求人","正職員 月給 228,970円 〜 246,970円","【杉並区高井戸西】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター高井戸駅前","高井戸西1-27-23","京王井の頭線 高井戸駅から徒歩で3分"
"686831","2025-03-03T15:25:42.000+09:00","介護職員","ニチイケアセンター烏山の介護職員求人","パート・バイト 時給 1,328円 〜 2,148円","【世田谷区北烏山】週1日・1時間～OK！子ども手当や学校行事休暇 等、子育て支援制度充実◎研修制度あり！空いた時間で介護のお仕事始めませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター烏山","北烏山6-1-16","京王線 千歳烏山駅から徒歩で8分
京王線 芦花公園駅から徒歩で11分
京王線 八幡山駅から徒歩で20分"
